iter	Passed	Remaining
613	1530	962
614	1532	959
615	1534	956
616	1536	953
617	1537	950
618	1539	947
619	1541	944
620	1543	941
621	1545	939
622	1547	936
623	1549	933
624	1550	930
625	1552	927
626	1554	924
627	1556	922
628	1558	919
629	1560	916
630	1562	913
631	1563	910
632	1565	907
633	1567	904
634	1569	901
635	1571	899
636	1572	896
637	1574	893
638	1575	890
639	1577	887
640	1579	884
641	1580	881
642	1582	878
643	1584	875
644	1586	873
645	1588	870
646	1589	867
647	1591	864
648	1593	861
649	1594	858
650	1596	855
651	1598	852
652	1599	850
653	1601	847
654	1603	844
655	1605	841
656	1606	838
657	1608	836
658	1610	833
659	1611	830
660	1613	827
661	1615	824
662	1617	822
663	1619	819
664	1620	816
665	1621	813
666	1623	810
667	1625	807
668	1626	804
669	1628	802
670	1630	799
671	1631	796
672	1633	793
673	1634	790
674	1636	787
675	1638	785
676	1639	782
677	1641	779
678	1643	776
679	1644	773
680	1646	771
681	1648	768
682	1649	765
683	1651	762
684	1652	760
685	1654	757
686	1656	754
687	1658	751
688	1659	749
689	1661	746
690	1663	743
691	1665	741
692	1666	738
693	1668	735
694	1670	733
695	1671	730
696	1673	727
697	1674	724
698	1676	721
699	1677	719
700	1679	716
701	1681	713
702	1683	711
703	1684	708
704	1686	705
705	1688	702
706	1689	700
707	1691	697
708	1693	694
709	1695	692
710	1696	689
711	1698	687
712	1700	684
713	1702	681
714	1703	679
715	1705	676
716	1707	673
717	1708	671
718	1710	668
719	1711	665
720	1713	662
721	1715	660
722	1716	657
723	1718	655
724	1720	652
725	1722	650
726	1723	647
727	1725	644
728	1727	642
729	1729	639
730	1730	636
731	1732	634
732	1734	631
733	1735	629
734	1737	626
735	1739	623
736	1741	621
737	1743	618
738	1744	616
739	1746	613
740	1748	611
741	1750	608
742	1751	605
743	1753	603
744	1755	600
745	1757	598
746	1758	595
747	1760	593
748	1762	590
749	1764	588
750	1766	585
751	1768	583
752	1769	580
753	1771	577
754	1773	575
755	1775	573
756	1776	570
757	1778	567
758	1780	565
759	1781	562
760	1783	560
761	1785	557
762	1786	555
763	1788	552
764	1790	549
765	1791	547
766	1793	544
767	1795	542
768	1797	539
769	1799	537
770	1800	534
771	1802	532
772	1804	529
773	1806	527
774	1807	524
775	1809	522
776	1811	519
777	1813	517
778	1815	514
779	1817	512
780	1818	510
781	1820	507
782	1822	505
783	1823	502
784	1825	499
785	1827	497
786	1828	494
787	1830	492
788	1832	490
789	1834	487
790	1835	485
791	1837	482
792	1839	480
793	1840	477
794	1842	475
795	1844	472
796	1846	470
797	1847	467
798	1849	465
799	1851	462
800	1853	460
801	1855	458
802	1857	455
803	1859	453
804	1861	450
805	1863	448
806	1864	445
807	1866	443
808	1868	441
809	1870	438
810	1872	436
811	1874	433
812	1875	431
813	1877	429
814	1879	426
815	1881	424
816	1883	421
817	1885	419
818	1887	417
819	1889	414
820	1891	412
821	1893	409
822	1894	407
823	1896	405
824	1899	402
825	1901	400
826	1903	398
827	1905	395
828	1906	393
829	1908	390
830	1910	388
831	1912	386
832	1914	383
833	1916	381
834	1918	379
835	1920	376
836	1922	374
837	1923	371
838	1925	369
839	1927	367
840	1929	364
841	1930	362
842	1932	359
843	1934	357
844	1936	355
845	1938	352
846	1940	350
847	1941	348
848	1943	345
849	1945	343
850	1947	340
851	1949	338
852	1951	336
853	1953	333
854	1955	331
855	1956	329
856	1958	326
857	1960	324
858	1962	322
859	1964	319
860	1966	317
861	1967	315
862	1969	312
863	1971	310
864	1972	307
865	1974	305
866	1975	303
867	1977	300
868	1980	298
869	1981	296
870	1983	293
871	1985	291
872	1987	289
873	1989	286
874	1991	284
875	1993	282
876	1995	279
877	1997	277
878	1999	275
879	2001	272
880	2002	270
881	2004	268
882	2006	265
883	2008	263
884	2009	261
885	2011	258
886	2013	256
887	2015	254
888	2016	251
889	2018	249
890	2020	247
891	2022	244
892	2023	242
893	2025	240
894	2027	237
895	2029	235
896	2031	233
897	2034	231
898	2036	228
899	2038	226
900	2041	224
901	2042	221
902	2044	219
903	2046	217
904	2048	215
905	2050	212
906	2052	210
907	2054	208
908	2056	205
909	2058	203
910	2060	201
911	2063	199
912	2065	196
913	2067	194
914	2069	192
915	2071	189
916	2073	187
917	2074	185
918	2076	183
919	2078	180
920	2080	178
921	2082	176
922	2084	173
923	2085	171
924	2087	169
925	2089	166
926	2091	164
927	2092	162
928	2094	160
929	2096	157
930	2098	155
931	2100	153
932	2102	150
933	2104	148
934	2105	146
935	2107	144
936	2109	141
937	2111	139
938	2113	137
939	2115	135
940	2116	132
941	2118	130
942	2120	128
943	2122	125
944	2123	123
945	2125	121
946	2127	119
947	2129	116
948	2130	114
949	2132	112
950	2133	109
951	2135	107
952	2137	105
953	2139	103
954	2141	100
955	2142	98
956	2144	96
957	2146	94
958	2148	91
959	2149	89
960	2151	87
961	2153	85
962	2155	82
963	2156	80
964	2158	78
965	2160	76
966	2161	73
967	2163	71
968	2165	69
969	2167	67
970	2168	64
971	2170	62
972	2172	60
973	2174	58
974	2175	55
975	2177	53
976	2179	51
977	2181	49
978	2183	46
979	2185	44
980	2187	42
981	2189	40
982	2191	37
983	2192	35
984	2194	33
985	2196	31
986	2198	28
987	2200	26
988	2202	24
989	2203	22
990	2205	20
991	2207	17
992	2209	15
993	2210	13
994	2212	11
995	2214	8
996	2216	6
997	2218	4
998	2220	2
999	2222	0
